番号,店名,町名,住所,au PAY,d払い,PayPay,楽天ペイ,ジャンル
1,仁生堂薬局築地店,明石町,中央区明石町１１－５,,,●,,ドラッグストア・薬局
2,Natural Earth,明石町,中央区明石町１３－１５明石町アビタシオン１０２,,●,●,,ショッピング
3,ユアーパーキング明石町第１,明石町,中央区明石町３－１１,●,●,,,その他
4,花や祇　クロスロードフラワー,明石町,中央区明石町４－９ココグランズマルビシ１F,,,●,,ショッピング
5,すし処築地,明石町,中央区明石町５－１５　明図ビル１階,●,●,,●,グルメ
6,中央ファーストデンタルクリニック,明石町,中央区明石町５－１９横山ビル１F,,,●,,病院・クリニック
7,（株）福祉工房ＩＤＳ,明石町,中央区明石町８－１,●,,,●,ショッピング
8,ロイヤル　アジアンキッチン　ダイヤモンド　聖路加ガーデン店,明石町,中央区明石町８－１聖路加ガーデンタワー１Ｆ,,●,●,●,グルメ
9,RESTAURANT LUKE with SKY LOUNGE  WEDDING,明石町,中央区明石町８－１聖路加ガ－デン４７Ｆ,,,●,,その他
10,フレッシュネスバーガー聖路加タワー,明石町,中央区明石町８－１聖路加タワ－１F１０３,●,●,●,●,グルメ
11,薬局エスエルファーマシー,明石町,中央区明石町８－１聖路加タワ－２Ｆ,●,●,●,,ドラッグストア・薬局
12,はぐみっくコワーキングスペース,入船,中央区入船１-１-２４ドルフィンＫＯＴＯビル,,,,●,エンタメ
13,ＥＡＳＥ女性のクリニック,入船,中央区入船１－１－２４ドルフィンＫＯＴＯビル５Ｆ,●,,,●,病院・クリニック
14,アイマン,入船,中央区入船１－２－１０－１F・２F,●,,,●,グルメ
15,もみの将八丁堀店,入船,中央区入船１－２－８サンパ－ク東京銀座１０２,●,,,●,美容院・サロン
16,入船　青柳,入船,中央区入船１－２－８サンパ－ク東京銀座１０４,,,,●,ショッピング
17,入船町火吹男,入船,中央区入船１－３－８,,,●,,グルメ
18,東京メディエール桜川薬局,入船,中央区入船１－５－１１弘報ビル１Ｆ,●,●,●,●,ドラッグストア・薬局
19,一軒炉端 とうきち八丁堀,入船,中央区入船１－５－２,●,,●,●,グルメ
20,cki.,入船,中央区入船１－７－８鈴木ビル１F,●,●,●,,美容院・サロン
21,Hotel Vintage,入船,中央区入船２－１０－７,,●,●,,ホテル・旅館
22,Ａｒｔ　ｓａｌｏｎ　Ｗａ,入船,中央区入船２－２－１３－６０１,●,,,●,ショッピング
23,Sato Tailor銀座店,入船,中央区入船２－３－６,●,●,●,,ショッピング
24,ウケヅキ,入船,中央区入船２－５－１０平成ビル１F,●,●,●,,グルメ
25,Ｐｅａｃｈ＆Ｂｅｌｌ,入船,中央区入船２－５－１０平成ビル４Ｆ,,,,●,その他
